央视IPV4,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17

卫视IPV4,#genre#
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
陕西卫视,http://148.135.93.213:81/live.php?id=陕西卫视
湖北卫视,http://148.135.93.213:81/live.php?id=湖北卫视
内蒙古卫视,http://148.135.93.213:81/live.php?id=内蒙古卫视
江西卫视,http://148.135.93.213:81/bestv.php?id=jxws8m/8000000
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
东南卫视,http://148.135.93.213:81/bestv.php?id=dnwshd8m/8000000
吉林卫视,http://148.135.93.213:81/bestv.php?id=jlwshd8m/8000000
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/bestv.php?id=scwshd/8000000
安徽卫视,http://148.135.93.213:81/bestv.php?id=ahwshd8m/8000000
山东卫视,http://148.135.93.213:81/bestv.php?id=sdws8m/8000000
山西卫视,http://148.135.93.213:81/live.php?id=山西卫视
广西卫视,http://148.135.93.213:81/bestv.php?id=gxwshd8m/8000000
河北卫视,http://148.135.93.213:81/bestv.php?id=hbwshd8m/8000000
河南卫视,http://148.135.93.213:81/bestv.php?id=hnwshd8m/8000000
深圳卫视,http://148.135.93.213:81/bestv.php?id=szwshd8m/8000000
甘肃卫视,http://148.135.93.213:81/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213:81/bestv.php?id=gzwshd8m/8000000
辽宁卫视,http://148.135.93.213:81/bestv.php?id=lnwshd8m/8000000
重庆卫视,http://148.135.93.213:81/bestv.php?id=cqws8m/8000000
黑龙江卫视,http://148.135.93.213:81/bestv.php?id=hljwshd8m/8000000
海南卫视,http://148.135.93.213:81/bestv.php?id=hainanwshd8m/8000000
大湾区卫视,http://148.135.93.213:81/live.php?id=大湾区卫视
西藏卫视,http://148.135.93.213:81/live.php?id=西藏卫视
