央视频道,#genre#
CCTV1,http://148.135.93.213/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://148.135.93.213/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://148.135.93.213/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://148.135.93.213/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://148.135.93.213/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://148.135.93.213/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://148.135.93.213/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://live.2025225.xyz/bptv/?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
CCTV4欧洲,http://live.2025225.xyz/bptv/?id=CCTV4欧洲
CCTV4美洲,http://live.2025225.xyz/bptv/?id=CCTV4美洲
CHC家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213/live.php?id=CHC动作电影
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

卫视频道,#genre#
浙江卫视,http://148.135.93.213/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213/live.php?id=江苏卫视
北京卫视,http://148.135.93.213/live.php?id=北京卫视
湖南卫视,http://live.2025225.xyz/bptv/?id=湖南卫视
东方卫视,http://148.135.93.213/live.php?id=东方卫视
安徽卫视,http://live.2025225.xyz/bptv/?id=安徽卫视
广东卫视,http://live.2025225.xyz/bptv/?id=广东卫视
深圳卫视,http://live.2025225.xyz/bptv/?id=深圳卫视
湖北卫视,http://148.135.93.213/live.php?id=湖北卫视
江西卫视,http://148.135.93.213/live.php?id=江西卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
河北卫视,http://live.2025225.xyz/bptv/?id=河北卫视
山东卫视,http://live.2025225.xyz/bptv/?id=山东卫视
天津卫视,http://live.2025225.xyz/bptv/?id=天津卫视
四川卫视,http://live.2025225.xyz/bptv/?id=四川卫视
重庆卫视,http://live.2025225.xyz/bptv/?id=重庆卫视
东南卫视,http://live.2025225.xyz/bptv/?id=东南卫视
厦门卫视,http://live.2025225.xyz/bptv/?id=厦门卫视
广西卫视,http://live.2025225.xyz/bptv/?id=广西卫视
云南卫视,http://live.2025225.xyz/bptv/?id=云南卫视
海南卫视,http://live.2025225.xyz/bptv/?id=海南卫视
贵州卫视,http://148.135.93.213/live.php?id=贵州卫视
陕西卫视,http://148.135.93.213/live.php?id=陕西卫视
甘肃卫视,http://148.135.93.213/live.php?id=甘肃卫视
青海卫视,http://live.2025225.xyz/bptv/?id=青海卫视
黑龙江卫视,http://live.2025225.xyz/bptv/?id=黑龙江卫视
吉林卫视,http://live.2025225.xyz/bptv/?id=吉林卫视
辽宁卫视,http://live.2025225.xyz/bptv/?id=辽宁卫视
山西卫视,http://live.2025225.xyz/bptv/?id=山西卫视
宁夏卫视,http://live.2025225.xyz/bptv/?id=宁夏卫视
新疆卫视,http://live.2025225.xyz/bptv/?id=新疆卫视
兵团卫视,http://live.2025225.xyz/bptv/?id=兵团卫视
西藏卫视,http://148.135.93.213/live.php?id=西藏卫视
内蒙古卫视,http://live.2025225.xyz/bptv/?id=内蒙古卫视
大湾区卫视,http://live.2025225.xyz/bptv/?id=大湾区卫视
三沙卫视,http://live.2025225.xyz/bptv/?id=三沙卫视

地方频道,#genre#
金鹰卡通,http://live.2025225.xyz/bptv/?id=金鹰卡通
卡酷少儿,http://live.2025225.xyz/bptv/?id=卡酷少儿
嘉佳卡通,http://live.2025225.xyz/bptv/?id=嘉佳卡通
优漫卡通,http://live.2025225.xyz/bptv/?id=优漫卡通
哈哈炫动,http://live.2025225.xyz/bptv/?id=哈哈炫动
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
上视新闻,http://live.2025225.xyz/bptv/?id=上视新闻
东方影视,http://live.2025225.xyz/bptv/?id=东方影视
上海第一财经,http://live.2025225.xyz/bptv/?id=上海第一财经
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj
